time,open,high,low,close,tick_volume,spread,real_volume
2026-04-21 11:45:00,1.17658,1.17662,1.17622,1.17653,551,1,0
2026-04-21 12:00:00,1.17648,1.17649,1.1758,1.17588,1057,1,0
2026-04-21 12:15:00,1.17588,1.1762299999999999,1.17568,1.17578,714,1,0
2026-04-21 12:30:00,1.1757900000000001,1.17605,1.17571,1.17598,623,1,0
2026-04-21 12:45:00,1.17597,1.17624,1.17565,1.17594,788,1,0
2026-04-21 13:00:00,1.17594,1.17614,1.17578,1.1759,672,1,0
2026-04-21 13:15:00,1.1758899999999999,1.17595,1.17566,1.1757900000000001,514,1,0
2026-04-21 13:30:00,1.1757900000000001,1.17609,1.17574,1.17597,570,1,0
2026-04-21 13:45:00,1.17596,1.17615,1.17588,1.1761,690,1,0
2026-04-21 14:00:00,1.17611,1.17629,1.17561,1.17586,1067,1,0
2026-04-21 14:15:00,1.17587,1.17662,1.17575,1.17662,831,1,0
2026-04-21 14:30:00,1.17663,1.1768399999999999,1.17641,1.17645,762,1,0
2026-04-21 14:45:00,1.17647,1.17677,1.17642,1.17671,699,1,0
2026-04-21 15:00:00,1.17672,1.17681,1.17649,1.17679,838,1,0
2026-04-21 15:15:00,1.17681,1.17681,1.17599,1.17605,927,1,0
2026-04-21 15:30:00,1.17606,1.17638,1.17542,1.17584,1755,1,0
2026-04-21 15:45:00,1.17586,1.1761,1.17559,1.17592,1192,1,0
2026-04-21 16:00:00,1.17596,1.17635,1.17578,1.17621,897,1,0
2026-04-21 16:15:00,1.17622,1.17672,1.17611,1.1767,933,1,0
2026-04-21 16:30:00,1.17667,1.17716,1.17657,1.17676,1650,1,0
2026-04-21 16:45:00,1.17675,1.1770100000000001,1.17652,1.17657,1299,1,0
2026-04-21 17:00:00,1.17664,1.17693,1.1764999999999999,1.17681,1269,1,0
2026-04-21 17:15:00,1.17682,1.17704,1.17641,1.17657,1354,1,0
2026-04-21 17:30:00,1.17656,1.17759,1.17638,1.17715,1495,1,0
2026-04-21 17:45:00,1.17714,1.17714,1.17519,1.17524,2373,1,0
2026-04-21 18:00:00,1.17524,1.17592,1.17485,1.1757900000000001,2076,1,0
2026-04-21 18:15:00,1.1758,1.17597,1.1746699999999999,1.17469,1854,1,0
2026-04-21 18:30:00,1.17466,1.17494,1.17411,1.17476,1500,1,0
2026-04-21 18:45:00,1.17477,1.1752,1.17466,1.17515,1173,1,0
2026-04-21 19:00:00,1.17517,1.17557,1.17515,1.17526,1462,1,0
2026-04-21 19:15:00,1.17525,1.17529,1.17451,1.17455,973,1,0
2026-04-21 19:30:00,1.17455,1.17483,1.17428,1.17434,807,1,0
2026-04-21 19:45:00,1.17434,1.17448,1.17404,1.17414,899,1,0
2026-04-21 20:00:00,1.17414,1.17422,1.17224,1.17252,1882,1,0
2026-04-21 20:15:00,1.17252,1.17324,1.17203,1.1732,1415,1,0
2026-04-21 20:30:00,1.1732,1.17636,1.1732,1.17585,2333,1,0
2026-04-21 20:45:00,1.17586,1.17594,1.1739600000000001,1.17429,1499,1,0
2026-04-21 21:00:00,1.17427,1.17472,1.17382,1.17383,1261,1,0
2026-04-21 21:15:00,1.17382,1.17408,1.17292,1.1732,1509,1,0
2026-04-21 21:30:00,1.1732,1.17374,1.17319,1.17331,925,1,0
2026-04-21 21:45:00,1.1733,1.17437,1.17323,1.17407,1363,1,0
2026-04-21 22:00:00,1.1741,1.17523,1.1740599999999999,1.17468,1554,1,0
2026-04-21 22:15:00,1.17473,1.17512,1.17433,1.17499,1688,1,0
2026-04-21 22:30:00,1.17499,1.17499,1.17188,1.17241,2233,1,0
2026-04-21 22:45:00,1.17243,1.17312,1.17229,1.17254,2456,1,0
2026-04-21 23:00:00,1.17253,1.17533,1.17232,1.1745,2185,2,0
2026-04-21 23:15:00,1.17454,1.17523,1.17419,1.17485,1594,2,0
2026-04-21 23:30:00,1.17484,1.17495,1.17436,1.17441,1067,2,0
2026-04-21 23:45:00,1.17441,1.17442,1.17403,1.17417,351,7,0
2026-04-22 00:00:00,1.17449,1.17462,1.1742,1.17426,72,22,0
2026-04-22 00:15:00,1.17425,1.17425,1.17321,1.17333,135,22,0
2026-04-22 00:30:00,1.17333,1.17446,1.17333,1.17429,139,15,0
2026-04-22 00:45:00,1.17427,1.17427,1.17361,1.1739600000000001,118,22,0
2026-04-22 01:00:00,1.17398,1.17439,1.17395,1.17404,334,2,0
2026-04-22 01:15:00,1.17403,1.17413,1.17386,1.17386,283,2,0
2026-04-22 01:30:00,1.17389,1.1740599999999999,1.17385,1.17391,462,2,0
2026-04-22 01:45:00,1.17391,1.17395,1.17385,1.17388,293,2,0
2026-04-22 02:00:00,1.17387,1.17393,1.17374,1.17387,179,1,0
2026-04-22 02:15:00,1.17388,1.17415,1.17384,1.17409,215,1,0
2026-04-22 02:30:00,1.1741,1.1742,1.17403,1.1740599999999999,156,1,0
2026-04-22 02:45:00,1.1740599999999999,1.17441,1.1740599999999999,1.1743999999999999,179,1,0
2026-04-22 03:00:00,1.17438,1.17514,1.17438,1.1749100000000001,703,1,0
